tensor(107.0816, grad_fn=<CopyBackwards>)
tensor(97.1237, grad_fn=<CopyBackwards>)
tensor(82.6737, grad_fn=<CopyBackwards>)
tensor(123.5697, grad_fn=<CopyBackwards>)
tensor(92.3745, grad_fn=<CopyBackwards>)
tensor(84.9039, grad_fn=<CopyBackwards>)
tensor(77.2404, grad_fn=<CopyBackwards>)
tensor(70.5489, grad_fn=<CopyBackwards>)
tensor(44.4421, grad_fn=<CopyBackwards>)
tensor(88.9865, grad_fn=<CopyBackwards>)
tensor(78.1028, grad_fn=<CopyBackwards>)
tensor(94.9054, grad_fn=<CopyBackwards>)
tensor(75.8810, grad_fn=<CopyBackwards>)
tensor(62.1566, grad_fn=<CopyBackwards>)
tensor(91.0110, grad_fn=<CopyBackwards>)
tensor(106.8208, grad_fn=<CopyBackwards>)
tensor(98.0009, grad_fn=<CopyBackwards>)
tensor(84.8340, grad_fn=<CopyBackwards>)
tensor(67.0565, grad_fn=<CopyBackwards>)
tensor(108.2874, grad_fn=<CopyBackwards>)
tensor(64.9848, grad_fn=<CopyBackwards>)
tensor(79.0195, grad_fn=<CopyBackwards>)
tensor(125.4852, grad_fn=<CopyBackwards>)
tensor(94.8801, grad_fn=<CopyBackwards>)
tensor(73.4088, grad_fn=<CopyBackwards>)
tensor(98.3631, grad_fn=<CopyBackwards>)
tensor(76.6731, grad_fn=<CopyBackwards>)
tensor(96.5593, grad_fn=<CopyBackwards>)
tensor(103.5043, grad_fn=<CopyBackwards>)
tensor(105.4168, grad_fn=<CopyBackwards>)
tensor(98.9317, grad_fn=<CopyBackwards>)
tensor(73.0634, grad_fn=<CopyBackwards>)
tensor(115.6540, grad_fn=<CopyBackwards>)
tensor(89.8250, grad_fn=<CopyBackwards>)
tensor(99.7717, grad_fn=<CopyBackwards>)
tensor(97.3071, grad_fn=<CopyBackwards>)
tensor(79.7527, grad_fn=<CopyBackwards>)
tensor(86.3661, grad_fn=<CopyBackwards>)
tensor(87.0643, grad_fn=<CopyBackwards>)
tensor(70.9301, grad_fn=<CopyBackwards>)
tensor(93.4156, grad_fn=<CopyBackwards>)
tensor(61.4306, grad_fn=<CopyBackwards>)
tensor(94.9645, grad_fn=<CopyBackwards>)
tensor(82.9037, grad_fn=<CopyBackwards>)
tensor(104.8138, grad_fn=<CopyBackwards>)
tensor(76.8969, grad_fn=<CopyBackwards>)
tensor(71.3680, grad_fn=<CopyBackwards>)
tensor(105.1004, grad_fn=<CopyBackwards>)
tensor(66.9236, grad_fn=<CopyBackwards>)
tensor(117.4628, grad_fn=<CopyBackwards>)
tensor(87.1077, grad_fn=<CopyBackwards>)
tensor(59.7615, grad_fn=<CopyBackwards>)
tensor(105.9727, grad_fn=<CopyBackwards>)
tensor(71.0338, grad_fn=<CopyBackwards>)
tensor(100.6062, grad_fn=<CopyBackwards>)
tensor(102.9799, grad_fn=<CopyBackwards>)
tensor(107.5067, grad_fn=<CopyBackwards>)
tensor(72.5069, grad_fn=<CopyBackwards>)
tensor(112.8461, grad_fn=<CopyBackwards>)
tensor(73.0937, grad_fn=<CopyBackwards>)
tensor(54.6601, grad_fn=<CopyBackwards>)
tensor(111.5768, grad_fn=<CopyBackwards>)
tensor(74.2712, grad_fn=<CopyBackwards>)
tensor(83.9877, grad_fn=<CopyBackwards>)
tensor(81.1479, grad_fn=<CopyBackwards>)
tensor(91.3783, grad_fn=<CopyBackwards>)
tensor(55.5900, grad_fn=<CopyBackwards>)
tensor(79.2958, grad_fn=<CopyBackwards>)
tensor(73.2710, grad_fn=<CopyBackwards>)
tensor(62.8997, grad_fn=<CopyBackwards>)
tensor(112.8868, grad_fn=<CopyBackwards>)
tensor(125.1264, grad_fn=<CopyBackwards>)
tensor(69.7953, grad_fn=<CopyBackwards>)
tensor(77.6761, grad_fn=<CopyBackwards>)
tensor(60.7810, grad_fn=<CopyBackwards>)
tensor(114.2261, grad_fn=<CopyBackwards>)
tensor(54.9666, grad_fn=<CopyBackwards>)
tensor(129.1072, grad_fn=<CopyBackwards>)
tensor(81.9594, grad_fn=<CopyBackwards>)
tensor(77.2715, grad_fn=<CopyBackwards>)
tensor(69.8259, grad_fn=<CopyBackwards>)
tensor(120.0499, grad_fn=<CopyBackwards>)
tensor(70.0900, grad_fn=<CopyBackwards>)
tensor(68.0262, grad_fn=<CopyBackwards>)
tensor(74.0900, grad_fn=<CopyBackwards>)
tensor(76.1507, grad_fn=<CopyBackwards>)
tensor(49.4362, grad_fn=<CopyBackwards>)
tensor(66.1050, grad_fn=<CopyBackwards>)
tensor(111.3214, grad_fn=<CopyBackwards>)
tensor(65.8346, grad_fn=<CopyBackwards>)
tensor(73.9518, grad_fn=<CopyBackwards>)
tensor(80.6554, grad_fn=<CopyBackwards>)
tensor(60.1718, grad_fn=<CopyBackwards>)
tensor(76.8410, grad_fn=<CopyBackwards>)
tensor(148.3979, grad_fn=<CopyBackwards>)
tensor(81.7485, grad_fn=<CopyBackwards>)
tensor(90.6023, grad_fn=<CopyBackwards>)
tensor(63.8321, grad_fn=<CopyBackwards>)
tensor(79.1849, grad_fn=<CopyBackwards>)
tensor(89.6453, grad_fn=<CopyBackwards>)
tensor(108.9732, grad_fn=<CopyBackwards>)
tensor(80.0742, grad_fn=<CopyBackwards>)
tensor(69.3732, grad_fn=<CopyBackwards>)
tensor(73.0294, grad_fn=<CopyBackwards>)
tensor(102.4908, grad_fn=<CopyBackwards>)
tensor(67.5154, grad_fn=<CopyBackwards>)
tensor(72.7242, grad_fn=<CopyBackwards>)
tensor(74.0309, grad_fn=<CopyBackwards>)
tensor(78.4010, grad_fn=<CopyBackwards>)
tensor(86.1880, grad_fn=<CopyBackwards>)
tensor(78.1651, grad_fn=<CopyBackwards>)
tensor(67.1342, grad_fn=<CopyBackwards>)
tensor(61.1548, grad_fn=<CopyBackwards>)
tensor(61.5735, grad_fn=<CopyBackwards>)
tensor(87.3709, grad_fn=<CopyBackwards>)
tensor(101.0289, grad_fn=<CopyBackwards>)
tensor(69.8273, grad_fn=<CopyBackwards>)
tensor(67.3357, grad_fn=<CopyBackwards>)
tensor(68.0500, grad_fn=<CopyBackwards>)
tensor(100.6884, grad_fn=<CopyBackwards>)
tensor(72.9292, grad_fn=<CopyBackwards>)
tensor(77.4749, grad_fn=<CopyBackwards>)
tensor(111.1105, grad_fn=<CopyBackwards>)
tensor(123.0592, grad_fn=<CopyBackwards>)
tensor(69.9096, grad_fn=<CopyBackwards>)
tensor(71.5076, grad_fn=<CopyBackwards>)
tensor(68.6751, grad_fn=<CopyBackwards>)
tensor(89.6148, grad_fn=<CopyBackwards>)
tensor(82.5339, grad_fn=<CopyBackwards>)
