tensor([90.0447], grad_fn=<CopyBackwards>)
tensor([87.4813], grad_fn=<CopyBackwards>)
tensor([86.0855], grad_fn=<CopyBackwards>)
tensor([87.3926], grad_fn=<CopyBackwards>)
tensor([88.5642], grad_fn=<CopyBackwards>)
tensor([89.1771], grad_fn=<CopyBackwards>)
tensor([92.2465], grad_fn=<CopyBackwards>)
tensor([86.1004], grad_fn=<CopyBackwards>)
tensor([88.3478], grad_fn=<CopyBackwards>)
tensor([86.3048], grad_fn=<CopyBackwards>)
tensor([89.5806], grad_fn=<CopyBackwards>)
tensor([88.7470], grad_fn=<CopyBackwards>)
tensor([86.1591], grad_fn=<CopyBackwards>)
tensor([88.5700], grad_fn=<CopyBackwards>)
tensor([90.0893], grad_fn=<CopyBackwards>)
tensor([89.7361], grad_fn=<CopyBackwards>)
tensor([88.5461], grad_fn=<CopyBackwards>)
tensor([88.1200], grad_fn=<CopyBackwards>)
tensor([88.5203], grad_fn=<CopyBackwards>)
tensor([88.2852], grad_fn=<CopyBackwards>)
tensor([89.1010], grad_fn=<CopyBackwards>)
tensor([88.4041], grad_fn=<CopyBackwards>)
tensor([89.1773], grad_fn=<CopyBackwards>)
tensor([88.9421], grad_fn=<CopyBackwards>)
tensor([87.7148], grad_fn=<CopyBackwards>)
tensor([87.7709], grad_fn=<CopyBackwards>)
tensor([88.1715], grad_fn=<CopyBackwards>)
tensor([84.6874], grad_fn=<CopyBackwards>)
tensor([84.8928], grad_fn=<CopyBackwards>)
tensor([85.9732], grad_fn=<CopyBackwards>)
tensor([90.3867], grad_fn=<CopyBackwards>)
tensor([92.1680], grad_fn=<CopyBackwards>)
tensor([89.1816], grad_fn=<CopyBackwards>)
tensor([88.8976], grad_fn=<CopyBackwards>)
tensor([84.1584], grad_fn=<CopyBackwards>)
tensor([90.5605], grad_fn=<CopyBackwards>)
tensor([88.5192], grad_fn=<CopyBackwards>)
tensor([93.5192], grad_fn=<CopyBackwards>)
tensor([88.1534], grad_fn=<CopyBackwards>)
tensor([88.7049], grad_fn=<CopyBackwards>)
tensor([83.1448], grad_fn=<CopyBackwards>)
tensor([86.4563], grad_fn=<CopyBackwards>)
tensor([87.5411], grad_fn=<CopyBackwards>)
tensor([88.1648], grad_fn=<CopyBackwards>)
tensor([88.5550], grad_fn=<CopyBackwards>)
tensor([84.6692], grad_fn=<CopyBackwards>)
tensor([90.5175], grad_fn=<CopyBackwards>)
tensor([87.0374], grad_fn=<CopyBackwards>)
tensor([86.9098], grad_fn=<CopyBackwards>)
tensor([89.8097], grad_fn=<CopyBackwards>)
tensor([87.9116], grad_fn=<CopyBackwards>)
tensor([90.4387], grad_fn=<CopyBackwards>)
tensor([84.9593], grad_fn=<CopyBackwards>)
tensor([85.6708], grad_fn=<CopyBackwards>)
tensor([85.9042], grad_fn=<CopyBackwards>)
tensor([84.9708], grad_fn=<CopyBackwards>)
tensor([88.0107], grad_fn=<CopyBackwards>)
tensor([89.9290], grad_fn=<CopyBackwards>)
tensor([85.7368], grad_fn=<CopyBackwards>)
tensor([86.3236], grad_fn=<CopyBackwards>)
tensor([91.5090], grad_fn=<CopyBackwards>)
tensor([85.3452], grad_fn=<CopyBackwards>)
tensor([90.6654], grad_fn=<CopyBackwards>)
tensor([85.0094], grad_fn=<CopyBackwards>)
tensor([86.9676], grad_fn=<CopyBackwards>)
tensor([87.0017], grad_fn=<CopyBackwards>)
tensor([87.6172], grad_fn=<CopyBackwards>)
tensor([86.2784], grad_fn=<CopyBackwards>)
tensor([87.8791], grad_fn=<CopyBackwards>)
tensor([88.7626], grad_fn=<CopyBackwards>)
tensor([91.1929], grad_fn=<CopyBackwards>)
tensor([90.9534], grad_fn=<CopyBackwards>)
tensor([91.4646], grad_fn=<CopyBackwards>)
tensor([91.0271], grad_fn=<CopyBackwards>)
tensor([91.4795], grad_fn=<CopyBackwards>)
tensor([91.0570], grad_fn=<CopyBackwards>)
tensor([91.0149], grad_fn=<CopyBackwards>)
tensor([91.0842], grad_fn=<CopyBackwards>)
tensor([89.9501], grad_fn=<CopyBackwards>)
tensor([87.2010], grad_fn=<CopyBackwards>)
tensor([90.0192], grad_fn=<CopyBackwards>)
tensor([91.2867], grad_fn=<CopyBackwards>)
tensor([87.8983], grad_fn=<CopyBackwards>)
tensor([89.9035], grad_fn=<CopyBackwards>)
tensor([88.9556], grad_fn=<CopyBackwards>)
tensor([88.3991], grad_fn=<CopyBackwards>)
tensor([90.4181], grad_fn=<CopyBackwards>)
tensor([91.0696], grad_fn=<CopyBackwards>)
tensor([90.0602], grad_fn=<CopyBackwards>)
tensor([91.3617], grad_fn=<CopyBackwards>)
tensor([85.4930], grad_fn=<CopyBackwards>)
tensor([88.2895], grad_fn=<CopyBackwards>)
tensor([91.2566], grad_fn=<CopyBackwards>)
tensor([86.3959], grad_fn=<CopyBackwards>)
tensor([91.2259], grad_fn=<CopyBackwards>)
tensor([86.2926], grad_fn=<CopyBackwards>)
tensor([91.2629], grad_fn=<CopyBackwards>)
tensor([88.9733], grad_fn=<CopyBackwards>)
