tensor(0.0338, grad_fn=<CopyBackwards>)
tensor(-0.0904, grad_fn=<CopyBackwards>)
tensor(-0.3070, grad_fn=<CopyBackwards>)
tensor(-0.4163, grad_fn=<CopyBackwards>)
tensor(-0.4570, grad_fn=<CopyBackwards>)
tensor(-0.5487, grad_fn=<CopyBackwards>)
tensor(-0.5802, grad_fn=<CopyBackwards>)
tensor(-0.2577, grad_fn=<CopyBackwards>)
tensor(-0.4953, grad_fn=<CopyBackwards>)
tensor(-0.4256, grad_fn=<CopyBackwards>)
tensor(-0.7665, grad_fn=<CopyBackwards>)
tensor(-0.6927, grad_fn=<CopyBackwards>)
tensor(-0.5837, grad_fn=<CopyBackwards>)
tensor(-0.6749, grad_fn=<CopyBackwards>)
tensor(-0.3257, grad_fn=<CopyBackwards>)
tensor(-0.4811, grad_fn=<CopyBackwards>)
tensor(-0.7930, grad_fn=<CopyBackwards>)
tensor(-0.7055, grad_fn=<CopyBackwards>)
tensor(-0.8268, grad_fn=<CopyBackwards>)
tensor(-0.4325, grad_fn=<CopyBackwards>)
tensor(-0.3325, grad_fn=<CopyBackwards>)
tensor(-0.5345, grad_fn=<CopyBackwards>)
tensor(-0.4710, grad_fn=<CopyBackwards>)
tensor(-0.7684, grad_fn=<CopyBackwards>)
tensor(-0.6327, grad_fn=<CopyBackwards>)
tensor(-0.3411, grad_fn=<CopyBackwards>)
tensor(-0.7106, grad_fn=<CopyBackwards>)
tensor(-0.5844, grad_fn=<CopyBackwards>)
tensor(-0.6311, grad_fn=<CopyBackwards>)
tensor(-0.3063, grad_fn=<CopyBackwards>)
tensor(-0.6768, grad_fn=<CopyBackwards>)
tensor(-0.6231, grad_fn=<CopyBackwards>)
tensor(-0.5691, grad_fn=<CopyBackwards>)
tensor(-0.4814, grad_fn=<CopyBackwards>)
tensor(-0.7778, grad_fn=<CopyBackwards>)
tensor(-0.7435, grad_fn=<CopyBackwards>)
tensor(-0.7359, grad_fn=<CopyBackwards>)
tensor(-0.5973, grad_fn=<CopyBackwards>)
tensor(-0.4794, grad_fn=<CopyBackwards>)
tensor(-0.6354, grad_fn=<CopyBackwards>)
tensor(-0.5277, grad_fn=<CopyBackwards>)
tensor(-0.7885, grad_fn=<CopyBackwards>)
tensor(-0.6548, grad_fn=<CopyBackwards>)
tensor(-0.4671, grad_fn=<CopyBackwards>)
tensor(-0.7077, grad_fn=<CopyBackwards>)
tensor(-0.3005, grad_fn=<CopyBackwards>)
tensor(-0.5982, grad_fn=<CopyBackwards>)
tensor(-0.6153, grad_fn=<CopyBackwards>)
tensor(-0.5458, grad_fn=<CopyBackwards>)
tensor(-0.8105, grad_fn=<CopyBackwards>)
tensor(-0.5958, grad_fn=<CopyBackwards>)
tensor(-0.6158, grad_fn=<CopyBackwards>)
tensor(-0.7852, grad_fn=<CopyBackwards>)
tensor(-0.7718, grad_fn=<CopyBackwards>)
tensor(-0.5844, grad_fn=<CopyBackwards>)
tensor(-0.6789, grad_fn=<CopyBackwards>)
tensor(-0.7572, grad_fn=<CopyBackwards>)
tensor(-0.4691, grad_fn=<CopyBackwards>)
tensor(-0.6880, grad_fn=<CopyBackwards>)
tensor(-0.5227, grad_fn=<CopyBackwards>)
tensor(-0.6341, grad_fn=<CopyBackwards>)
tensor(-0.5392, grad_fn=<CopyBackwards>)
tensor(-0.8520, grad_fn=<CopyBackwards>)
tensor(-0.4621, grad_fn=<CopyBackwards>)
tensor(-0.6020, grad_fn=<CopyBackwards>)
tensor(-0.5964, grad_fn=<CopyBackwards>)
tensor(-0.8231, grad_fn=<CopyBackwards>)
tensor(-0.6875, grad_fn=<CopyBackwards>)
tensor(-0.4114, grad_fn=<CopyBackwards>)
tensor(-0.5492, grad_fn=<CopyBackwards>)
tensor(-0.8782, grad_fn=<CopyBackwards>)
tensor(-0.7777, grad_fn=<CopyBackwards>)
tensor(-0.5247, grad_fn=<CopyBackwards>)
tensor(-0.4146, grad_fn=<CopyBackwards>)
tensor(-0.4766, grad_fn=<CopyBackwards>)
tensor(-0.7831, grad_fn=<CopyBackwards>)
tensor(-0.7696, grad_fn=<CopyBackwards>)
tensor(-0.7871, grad_fn=<CopyBackwards>)
tensor(-0.4776, grad_fn=<CopyBackwards>)
tensor(-0.6982, grad_fn=<CopyBackwards>)
tensor(-0.5651, grad_fn=<CopyBackwards>)
tensor(-0.6121, grad_fn=<CopyBackwards>)
tensor(-0.6895, grad_fn=<CopyBackwards>)
tensor(-0.7747, grad_fn=<CopyBackwards>)
tensor(-0.8211, grad_fn=<CopyBackwards>)
tensor(-0.8278, grad_fn=<CopyBackwards>)
tensor(-0.3924, grad_fn=<CopyBackwards>)
tensor(-0.8918, grad_fn=<CopyBackwards>)
tensor(-0.7614, grad_fn=<CopyBackwards>)
tensor(-0.9016, grad_fn=<CopyBackwards>)
tensor(-0.7803, grad_fn=<CopyBackwards>)
tensor(-0.7314, grad_fn=<CopyBackwards>)
tensor(-0.5377, grad_fn=<CopyBackwards>)
tensor(-0.7381, grad_fn=<CopyBackwards>)
tensor(-0.7664, grad_fn=<CopyBackwards>)
tensor(-0.0599, grad_fn=<CopyBackwards>)
tensor(-0.2893, grad_fn=<CopyBackwards>)
tensor(-0.8007, grad_fn=<CopyBackwards>)
tensor(-0.5517, grad_fn=<CopyBackwards>)
tensor(-0.5314, grad_fn=<CopyBackwards>)
tensor(-0.8663, grad_fn=<CopyBackwards>)
tensor(-0.8725, grad_fn=<CopyBackwards>)
tensor(-0.6109, grad_fn=<CopyBackwards>)
tensor(-0.6047, grad_fn=<CopyBackwards>)
tensor(-0.8108, grad_fn=<CopyBackwards>)
tensor(-0.0778, grad_fn=<CopyBackwards>)
tensor(-0.3526, grad_fn=<CopyBackwards>)
tensor(-0.2577, grad_fn=<CopyBackwards>)
tensor(-0.4479, grad_fn=<CopyBackwards>)
tensor(-0.5545, grad_fn=<CopyBackwards>)
tensor(-0.7027, grad_fn=<CopyBackwards>)
tensor(-0.6042, grad_fn=<CopyBackwards>)
tensor(-0.3209, grad_fn=<CopyBackwards>)
tensor(-0.6121, grad_fn=<CopyBackwards>)
tensor(0.1009, grad_fn=<CopyBackwards>)
tensor(-0.3337, grad_fn=<CopyBackwards>)
tensor(-0.7206, grad_fn=<CopyBackwards>)
tensor(-0.5900, grad_fn=<CopyBackwards>)
tensor(-0.7686, grad_fn=<CopyBackwards>)
tensor(-0.7212, grad_fn=<CopyBackwards>)
tensor(-0.6710, grad_fn=<CopyBackwards>)
tensor(0.1573, grad_fn=<CopyBackwards>)
tensor(-0.8622, grad_fn=<CopyBackwards>)
tensor(-0.8817, grad_fn=<CopyBackwards>)
tensor(-0.7398, grad_fn=<CopyBackwards>)
tensor(-0.9528, grad_fn=<CopyBackwards>)
tensor(-0.0226, grad_fn=<CopyBackwards>)
tensor(-0.6575, grad_fn=<CopyBackwards>)
tensor(-0.8412, grad_fn=<CopyBackwards>)
tensor(-0.4547, grad_fn=<CopyBackwards>)
