tensor(-0.7698, grad_fn=<CopyBackwards>)
tensor(-0.4092, grad_fn=<CopyBackwards>)
tensor(-0.8235, grad_fn=<CopyBackwards>)
tensor(-0.6004, grad_fn=<CopyBackwards>)
tensor(-0.6367, grad_fn=<CopyBackwards>)
tensor(-0.6506, grad_fn=<CopyBackwards>)
tensor(-0.6806, grad_fn=<CopyBackwards>)
tensor(-0.6732, grad_fn=<CopyBackwards>)
tensor(-0.6084, grad_fn=<CopyBackwards>)
tensor(-0.5458, grad_fn=<CopyBackwards>)
tensor(-0.8947, grad_fn=<CopyBackwards>)
tensor(-0.3796, grad_fn=<CopyBackwards>)
tensor(-0.7061, grad_fn=<CopyBackwards>)
tensor(-0.3990, grad_fn=<CopyBackwards>)
tensor(-0.7319, grad_fn=<CopyBackwards>)
tensor(-0.4223, grad_fn=<CopyBackwards>)
tensor(-0.0025, grad_fn=<CopyBackwards>)
tensor(-0.3757, grad_fn=<CopyBackwards>)
tensor(-0.4120, grad_fn=<CopyBackwards>)
tensor(-0.6776, grad_fn=<CopyBackwards>)
tensor(-0.3750, grad_fn=<CopyBackwards>)
tensor(0.1280, grad_fn=<CopyBackwards>)
tensor(-0.1545, grad_fn=<CopyBackwards>)
tensor(0.2610, grad_fn=<CopyBackwards>)
tensor(-0.1988, grad_fn=<CopyBackwards>)
tensor(0.1673, grad_fn=<CopyBackwards>)
tensor(-0.7456, grad_fn=<CopyBackwards>)
tensor(-0.2882, grad_fn=<CopyBackwards>)
tensor(-0.3918, grad_fn=<CopyBackwards>)
tensor(-0.2027, grad_fn=<CopyBackwards>)
tensor(-0.1212, grad_fn=<CopyBackwards>)
tensor(-0.1848, grad_fn=<CopyBackwards>)
tensor(-0.0908, grad_fn=<CopyBackwards>)
tensor(-0.1314, grad_fn=<CopyBackwards>)
tensor(-0.4465, grad_fn=<CopyBackwards>)
tensor(-0.2023, grad_fn=<CopyBackwards>)
tensor(-0.1927, grad_fn=<CopyBackwards>)
tensor(0.0816, grad_fn=<CopyBackwards>)
tensor(-0.5940, grad_fn=<CopyBackwards>)
tensor(-0.1545, grad_fn=<CopyBackwards>)
tensor(-0.2748, grad_fn=<CopyBackwards>)
tensor(-0.4369, grad_fn=<CopyBackwards>)
tensor(-0.3800, grad_fn=<CopyBackwards>)
tensor(-0.1641, grad_fn=<CopyBackwards>)
tensor(0.0591, grad_fn=<CopyBackwards>)
tensor(0.0698, grad_fn=<CopyBackwards>)
tensor(-0.2076, grad_fn=<CopyBackwards>)
tensor(-0.4977, grad_fn=<CopyBackwards>)
tensor(0.1600, grad_fn=<CopyBackwards>)
tensor(-0.6632, grad_fn=<CopyBackwards>)
tensor(0.0029, grad_fn=<CopyBackwards>)
tensor(-0.1199, grad_fn=<CopyBackwards>)
tensor(-0.5265, grad_fn=<CopyBackwards>)
tensor(-0.4051, grad_fn=<CopyBackwards>)
tensor(-0.0012, grad_fn=<CopyBackwards>)
tensor(-0.2980, grad_fn=<CopyBackwards>)
tensor(0.6838, grad_fn=<CopyBackwards>)
tensor(-0.5661, grad_fn=<CopyBackwards>)
tensor(-0.6528, grad_fn=<CopyBackwards>)
tensor(0.0632, grad_fn=<CopyBackwards>)
tensor(-0.7335, grad_fn=<CopyBackwards>)
tensor(-0.0047, grad_fn=<CopyBackwards>)
tensor(-0.0280, grad_fn=<CopyBackwards>)
tensor(0.2733, grad_fn=<CopyBackwards>)
tensor(-0.3638, grad_fn=<CopyBackwards>)
tensor(-0.3654, grad_fn=<CopyBackwards>)
tensor(-0.4003, grad_fn=<CopyBackwards>)
tensor(-0.2225, grad_fn=<CopyBackwards>)
tensor(-0.5614, grad_fn=<CopyBackwards>)
tensor(-0.3700, grad_fn=<CopyBackwards>)
tensor(-0.4622, grad_fn=<CopyBackwards>)
tensor(-0.5029, grad_fn=<CopyBackwards>)
tensor(-0.3373, grad_fn=<CopyBackwards>)
tensor(-0.8725, grad_fn=<CopyBackwards>)
tensor(-0.3278, grad_fn=<CopyBackwards>)
tensor(-0.7524, grad_fn=<CopyBackwards>)
tensor(-0.5823, grad_fn=<CopyBackwards>)
tensor(-0.1761, grad_fn=<CopyBackwards>)
tensor(-0.4296, grad_fn=<CopyBackwards>)
tensor(-0.0397, grad_fn=<CopyBackwards>)
tensor(0.1341, grad_fn=<CopyBackwards>)
tensor(-0.7094, grad_fn=<CopyBackwards>)
tensor(0.0128, grad_fn=<CopyBackwards>)
tensor(-0.1289, grad_fn=<CopyBackwards>)
tensor(0.2150, grad_fn=<CopyBackwards>)
tensor(0.0028, grad_fn=<CopyBackwards>)
tensor(-0.2470, grad_fn=<CopyBackwards>)
tensor(-0.1953, grad_fn=<CopyBackwards>)
tensor(-0.2511, grad_fn=<CopyBackwards>)
tensor(-0.0200, grad_fn=<CopyBackwards>)
tensor(-0.4558, grad_fn=<CopyBackwards>)
tensor(-0.2310, grad_fn=<CopyBackwards>)
tensor(0.0137, grad_fn=<CopyBackwards>)
tensor(0.2946, grad_fn=<CopyBackwards>)
tensor(-0.0832, grad_fn=<CopyBackwards>)
tensor(-0.0793, grad_fn=<CopyBackwards>)
tensor(-0.6342, grad_fn=<CopyBackwards>)
tensor(-0.5262, grad_fn=<CopyBackwards>)
tensor(-0.0529, grad_fn=<CopyBackwards>)
tensor(-0.1180, grad_fn=<CopyBackwards>)
tensor(-0.3852, grad_fn=<CopyBackwards>)
