tensor(-0.0030, grad_fn=<CopyBackwards>)
tensor(-0.0403, grad_fn=<CopyBackwards>)
tensor(-0.0023, grad_fn=<CopyBackwards>)
tensor(-0.0073, grad_fn=<CopyBackwards>)
tensor(-0.0667, grad_fn=<CopyBackwards>)
tensor(-0.0546, grad_fn=<CopyBackwards>)
tensor(-0.0044, grad_fn=<CopyBackwards>)
tensor(-0.0741, grad_fn=<CopyBackwards>)
tensor(-0.2757, grad_fn=<CopyBackwards>)
tensor(-0.0269, grad_fn=<CopyBackwards>)
tensor(-0.0129, grad_fn=<CopyBackwards>)
tensor(-0.0007, grad_fn=<CopyBackwards>)
tensor(-0.0539, grad_fn=<CopyBackwards>)
tensor(-0.0393, grad_fn=<CopyBackwards>)
tensor(-0.1420, grad_fn=<CopyBackwards>)
tensor(-0.1442, grad_fn=<CopyBackwards>)
tensor(-0.0802, grad_fn=<CopyBackwards>)
tensor(-0.2786, grad_fn=<CopyBackwards>)
tensor(-0.2706, grad_fn=<CopyBackwards>)
tensor(-0.1263, grad_fn=<CopyBackwards>)
tensor(-0.1907, grad_fn=<CopyBackwards>)
tensor(-0.2025, grad_fn=<CopyBackwards>)
tensor(-0.2915, grad_fn=<CopyBackwards>)
tensor(-0.0653, grad_fn=<CopyBackwards>)
tensor(-0.2515, grad_fn=<CopyBackwards>)
tensor(-0.2096, grad_fn=<CopyBackwards>)
tensor(-0.2479, grad_fn=<CopyBackwards>)
tensor(-0.0609, grad_fn=<CopyBackwards>)
tensor(-0.1273, grad_fn=<CopyBackwards>)
tensor(-0.0492, grad_fn=<CopyBackwards>)
tensor(-0.2068, grad_fn=<CopyBackwards>)
tensor(-0.0455, grad_fn=<CopyBackwards>)
tensor(-0.0159, grad_fn=<CopyBackwards>)
tensor(-0.0546, grad_fn=<CopyBackwards>)
tensor(-0.1201, grad_fn=<CopyBackwards>)
tensor(-0.0635, grad_fn=<CopyBackwards>)
tensor(-0.0054, grad_fn=<CopyBackwards>)
tensor(-0.1146, grad_fn=<CopyBackwards>)
tensor(-0.0121, grad_fn=<CopyBackwards>)
tensor(-0.0457, grad_fn=<CopyBackwards>)
tensor(-0.0203, grad_fn=<CopyBackwards>)
tensor(-0.0353, grad_fn=<CopyBackwards>)
tensor(-0.0619, grad_fn=<CopyBackwards>)
tensor(-0.0210, grad_fn=<CopyBackwards>)
tensor(-0.0912, grad_fn=<CopyBackwards>)
tensor(-0.2256, grad_fn=<CopyBackwards>)
tensor(-0.0482, grad_fn=<CopyBackwards>)
tensor(-0.0204, grad_fn=<CopyBackwards>)
tensor(-0.2037, grad_fn=<CopyBackwards>)
tensor(-0.0125, grad_fn=<CopyBackwards>)
tensor(-0.0845, grad_fn=<CopyBackwards>)
tensor(-0.0298, grad_fn=<CopyBackwards>)
tensor(-0.2133, grad_fn=<CopyBackwards>)
tensor(-0.0639, grad_fn=<CopyBackwards>)
tensor(-0.2071, grad_fn=<CopyBackwards>)
tensor(-0.0341, grad_fn=<CopyBackwards>)
tensor(-0.1192, grad_fn=<CopyBackwards>)
tensor(-0.2598, grad_fn=<CopyBackwards>)
tensor(-0.0631, grad_fn=<CopyBackwards>)
tensor(-0.0643, grad_fn=<CopyBackwards>)
tensor(-0.0237, grad_fn=<CopyBackwards>)
tensor(-0.0358, grad_fn=<CopyBackwards>)
tensor(-0.0026, grad_fn=<CopyBackwards>)
tensor(-0.0032, grad_fn=<CopyBackwards>)
tensor(-0.0168, grad_fn=<CopyBackwards>)
tensor(-0.0057, grad_fn=<CopyBackwards>)
tensor(-0.0431, grad_fn=<CopyBackwards>)
tensor(-0.0010, grad_fn=<CopyBackwards>)
tensor(-0.0302, grad_fn=<CopyBackwards>)
tensor(-0.1161, grad_fn=<CopyBackwards>)
tensor(-0.0174, grad_fn=<CopyBackwards>)
tensor(-0.0121, grad_fn=<CopyBackwards>)
tensor(-0.0675, grad_fn=<CopyBackwards>)
tensor(-0.0130, grad_fn=<CopyBackwards>)
tensor(-0.0593, grad_fn=<CopyBackwards>)
tensor(-0.0669, grad_fn=<CopyBackwards>)
tensor(-0.0061, grad_fn=<CopyBackwards>)
tensor(-0.0041, grad_fn=<CopyBackwards>)
tensor(-0.1446, grad_fn=<CopyBackwards>)
tensor(-0.0339, grad_fn=<CopyBackwards>)
tensor(-0.0006, grad_fn=<CopyBackwards>)
tensor(-0.0008, grad_fn=<CopyBackwards>)
tensor(-0.0290, grad_fn=<CopyBackwards>)
tensor(-0.0153, grad_fn=<CopyBackwards>)
tensor(-0.0091, grad_fn=<CopyBackwards>)
tensor(-0.0599, grad_fn=<CopyBackwards>)
tensor(-0.0084, grad_fn=<CopyBackwards>)
tensor(-0.0950, grad_fn=<CopyBackwards>)
tensor(-0.0055, grad_fn=<CopyBackwards>)
tensor(-0.1152, grad_fn=<CopyBackwards>)
tensor(-0.0051, grad_fn=<CopyBackwards>)
tensor(-0.1083, grad_fn=<CopyBackwards>)
tensor(-0.0964, grad_fn=<CopyBackwards>)
tensor(-0.0030, grad_fn=<CopyBackwards>)
tensor(-0.0138, grad_fn=<CopyBackwards>)
tensor(-0.0092, grad_fn=<CopyBackwards>)
tensor(-0.0063, grad_fn=<CopyBackwards>)
tensor(-0.0013, grad_fn=<CopyBackwards>)
tensor(-0.0030, grad_fn=<CopyBackwards>)
tensor(-0.0026, grad_fn=<CopyBackwards>)
tensor(-0.0024, grad_fn=<CopyBackwards>)
tensor(-0.0130, grad_fn=<CopyBackwards>)
tensor(-0.0059, grad_fn=<CopyBackwards>)
tensor(-0.1028, grad_fn=<CopyBackwards>)
tensor(-0.0005, grad_fn=<CopyBackwards>)
tensor(-0.0052, grad_fn=<CopyBackwards>)
tensor(-0.0094, grad_fn=<CopyBackwards>)
tensor(-0.0010, grad_fn=<CopyBackwards>)
tensor(-0.2167, grad_fn=<CopyBackwards>)
tensor(-0.0836, grad_fn=<CopyBackwards>)
tensor(-0.2666, grad_fn=<CopyBackwards>)
tensor(-0.0075, grad_fn=<CopyBackwards>)
tensor(-0.1011, grad_fn=<CopyBackwards>)
tensor(-0.0123, grad_fn=<CopyBackwards>)
tensor(-0.0003, grad_fn=<CopyBackwards>)
tensor(-0.0026, grad_fn=<CopyBackwards>)
tensor(-0.0125, grad_fn=<CopyBackwards>)
tensor(-0.0303, grad_fn=<CopyBackwards>)
tensor(-0.0004, grad_fn=<CopyBackwards>)
tensor(-0.0013, grad_fn=<CopyBackwards>)
tensor(-0.0673, grad_fn=<CopyBackwards>)
tensor(-0.0105, grad_fn=<CopyBackwards>)
