tensor(1.3551, grad_fn=<CopyBackwards>)
tensor(1.7762, grad_fn=<CopyBackwards>)
tensor(1.8068, grad_fn=<CopyBackwards>)
tensor(2.2497, grad_fn=<CopyBackwards>)
tensor(2.2488, grad_fn=<CopyBackwards>)
tensor(1.4593, grad_fn=<CopyBackwards>)
tensor(1.3359, grad_fn=<CopyBackwards>)
tensor(1.9863, grad_fn=<CopyBackwards>)
tensor(1.8635, grad_fn=<CopyBackwards>)
tensor(2.4058, grad_fn=<CopyBackwards>)
tensor(1.9982, grad_fn=<CopyBackwards>)
tensor(2.4097, grad_fn=<CopyBackwards>)
tensor(2.4704, grad_fn=<CopyBackwards>)
tensor(3.0240, grad_fn=<CopyBackwards>)
tensor(2.1021, grad_fn=<CopyBackwards>)
tensor(1.9768, grad_fn=<CopyBackwards>)
tensor(2.2366, grad_fn=<CopyBackwards>)
tensor(2.9298, grad_fn=<CopyBackwards>)
tensor(2.8410, grad_fn=<CopyBackwards>)
tensor(4.1239, grad_fn=<CopyBackwards>)
tensor(4.3010, grad_fn=<CopyBackwards>)
tensor(3.5882, grad_fn=<CopyBackwards>)
tensor(2.7263, grad_fn=<CopyBackwards>)
tensor(2.5745, grad_fn=<CopyBackwards>)
tensor(2.2263, grad_fn=<CopyBackwards>)
tensor(3.4019, grad_fn=<CopyBackwards>)
tensor(3.0483, grad_fn=<CopyBackwards>)
tensor(2.0414, grad_fn=<CopyBackwards>)
tensor(1.9351, grad_fn=<CopyBackwards>)
tensor(2.6638, grad_fn=<CopyBackwards>)
tensor(1.6508, grad_fn=<CopyBackwards>)
tensor(3.3485, grad_fn=<CopyBackwards>)
tensor(3.5177, grad_fn=<CopyBackwards>)
tensor(4.0903, grad_fn=<CopyBackwards>)
tensor(2.6285, grad_fn=<CopyBackwards>)
tensor(3.2622, grad_fn=<CopyBackwards>)
tensor(3.1216, grad_fn=<CopyBackwards>)
tensor(2.2651, grad_fn=<CopyBackwards>)
tensor(2.2707, grad_fn=<CopyBackwards>)
tensor(2.3128, grad_fn=<CopyBackwards>)
tensor(1.7068, grad_fn=<CopyBackwards>)
tensor(2.1401, grad_fn=<CopyBackwards>)
tensor(2.5254, grad_fn=<CopyBackwards>)
tensor(1.5538, grad_fn=<CopyBackwards>)
tensor(2.5983, grad_fn=<CopyBackwards>)
tensor(2.7169, grad_fn=<CopyBackwards>)
tensor(1.8362, grad_fn=<CopyBackwards>)
tensor(2.7947, grad_fn=<CopyBackwards>)
tensor(2.3340, grad_fn=<CopyBackwards>)
tensor(2.1772, grad_fn=<CopyBackwards>)
tensor(3.3781, grad_fn=<CopyBackwards>)
tensor(2.5568, grad_fn=<CopyBackwards>)
tensor(2.8492, grad_fn=<CopyBackwards>)
tensor(3.5796, grad_fn=<CopyBackwards>)
tensor(2.4902, grad_fn=<CopyBackwards>)
tensor(3.3694, grad_fn=<CopyBackwards>)
tensor(2.9656, grad_fn=<CopyBackwards>)
tensor(3.0644, grad_fn=<CopyBackwards>)
tensor(2.9829, grad_fn=<CopyBackwards>)
tensor(3.0626, grad_fn=<CopyBackwards>)
tensor(2.8282, grad_fn=<CopyBackwards>)
tensor(2.6867, grad_fn=<CopyBackwards>)
tensor(2.8336, grad_fn=<CopyBackwards>)
tensor(3.3598, grad_fn=<CopyBackwards>)
tensor(2.8133, grad_fn=<CopyBackwards>)
tensor(2.0555, grad_fn=<CopyBackwards>)
tensor(2.5754, grad_fn=<CopyBackwards>)
tensor(2.4381, grad_fn=<CopyBackwards>)
tensor(1.5634, grad_fn=<CopyBackwards>)
tensor(2.0831, grad_fn=<CopyBackwards>)
tensor(2.3320, grad_fn=<CopyBackwards>)
tensor(2.7961, grad_fn=<CopyBackwards>)
