tensor(2.6656, grad_fn=<CopyBackwards>)
tensor(2.4622, grad_fn=<CopyBackwards>)
tensor(1.6419, grad_fn=<CopyBackwards>)
tensor(2.9416, grad_fn=<CopyBackwards>)
tensor(2.8764, grad_fn=<CopyBackwards>)
tensor(1.7318, grad_fn=<CopyBackwards>)
tensor(3.6890, grad_fn=<CopyBackwards>)
tensor(2.0056, grad_fn=<CopyBackwards>)
tensor(2.9382, grad_fn=<CopyBackwards>)
tensor(3.8229, grad_fn=<CopyBackwards>)
tensor(2.4375, grad_fn=<CopyBackwards>)
tensor(2.1790, grad_fn=<CopyBackwards>)
tensor(2.1302, grad_fn=<CopyBackwards>)
tensor(2.8996, grad_fn=<CopyBackwards>)
tensor(2.4552, grad_fn=<CopyBackwards>)
tensor(3.0555, grad_fn=<CopyBackwards>)
tensor(3.2833, grad_fn=<CopyBackwards>)
tensor(2.6013, grad_fn=<CopyBackwards>)
tensor(3.1775, grad_fn=<CopyBackwards>)
tensor(2.4530, grad_fn=<CopyBackwards>)
tensor(2.6063, grad_fn=<CopyBackwards>)
tensor(2.7312, grad_fn=<CopyBackwards>)
tensor(2.0301, grad_fn=<CopyBackwards>)
tensor(2.0898, grad_fn=<CopyBackwards>)
tensor(3.1334, grad_fn=<CopyBackwards>)
tensor(1.9902, grad_fn=<CopyBackwards>)
tensor(2.1745, grad_fn=<CopyBackwards>)
tensor(3.1885, grad_fn=<CopyBackwards>)
tensor(2.4166, grad_fn=<CopyBackwards>)
tensor(1.8687, grad_fn=<CopyBackwards>)
tensor(2.6845, grad_fn=<CopyBackwards>)
tensor(1.8157, grad_fn=<CopyBackwards>)
tensor(2.4976, grad_fn=<CopyBackwards>)
tensor(2.8682, grad_fn=<CopyBackwards>)
tensor(2.7726, grad_fn=<CopyBackwards>)
tensor(2.6736, grad_fn=<CopyBackwards>)
tensor(1.8369, grad_fn=<CopyBackwards>)
tensor(2.5381, grad_fn=<CopyBackwards>)
tensor(3.0521, grad_fn=<CopyBackwards>)
tensor(2.8123, grad_fn=<CopyBackwards>)
tensor(2.4133, grad_fn=<CopyBackwards>)
tensor(2.4008, grad_fn=<CopyBackwards>)
tensor(2.1618, grad_fn=<CopyBackwards>)
tensor(1.8310, grad_fn=<CopyBackwards>)
tensor(1.9330, grad_fn=<CopyBackwards>)
tensor(2.5696, grad_fn=<CopyBackwards>)
tensor(1.7791, grad_fn=<CopyBackwards>)
tensor(2.0863, grad_fn=<CopyBackwards>)
tensor(2.5195, grad_fn=<CopyBackwards>)
tensor(2.2311, grad_fn=<CopyBackwards>)
tensor(1.8964, grad_fn=<CopyBackwards>)
tensor(2.9378, grad_fn=<CopyBackwards>)
tensor(2.5951, grad_fn=<CopyBackwards>)
tensor(2.8103, grad_fn=<CopyBackwards>)
tensor(1.9950, grad_fn=<CopyBackwards>)
tensor(1.2284, grad_fn=<CopyBackwards>)
tensor(1.4754, grad_fn=<CopyBackwards>)
tensor(1.7637, grad_fn=<CopyBackwards>)
tensor(1.3656, grad_fn=<CopyBackwards>)
tensor(2.2844, grad_fn=<CopyBackwards>)
tensor(2.9274, grad_fn=<CopyBackwards>)
tensor(1.7228, grad_fn=<CopyBackwards>)
tensor(2.3677, grad_fn=<CopyBackwards>)
tensor(3.3386, grad_fn=<CopyBackwards>)
tensor(2.0548, grad_fn=<CopyBackwards>)
tensor(1.7651, grad_fn=<CopyBackwards>)
tensor(2.5723, grad_fn=<CopyBackwards>)
tensor(2.9162, grad_fn=<CopyBackwards>)
tensor(2.1536, grad_fn=<CopyBackwards>)
tensor(3.4224, grad_fn=<CopyBackwards>)
tensor(1.9196, grad_fn=<CopyBackwards>)
tensor(2.4868, grad_fn=<CopyBackwards>)
tensor(1.5963, grad_fn=<CopyBackwards>)
tensor(1.3650, grad_fn=<CopyBackwards>)
tensor(0.9585, grad_fn=<CopyBackwards>)
tensor(4.1956, grad_fn=<CopyBackwards>)
tensor(1.4400, grad_fn=<CopyBackwards>)
tensor(2.5377, grad_fn=<CopyBackwards>)
tensor(2.8854, grad_fn=<CopyBackwards>)
tensor(2.8140, grad_fn=<CopyBackwards>)
tensor(3.4062, grad_fn=<CopyBackwards>)
tensor(2.3061, grad_fn=<CopyBackwards>)
tensor(2.6419, grad_fn=<CopyBackwards>)
tensor(3.2713, grad_fn=<CopyBackwards>)
tensor(1.8212, grad_fn=<CopyBackwards>)
tensor(1.6998, grad_fn=<CopyBackwards>)
tensor(3.5057, grad_fn=<CopyBackwards>)
tensor(2.1667, grad_fn=<CopyBackwards>)
tensor(3.5569, grad_fn=<CopyBackwards>)
tensor(3.2676, grad_fn=<CopyBackwards>)
tensor(3.5010, grad_fn=<CopyBackwards>)
tensor(3.8863, grad_fn=<CopyBackwards>)
tensor(3.0082, grad_fn=<CopyBackwards>)
tensor(2.7007, grad_fn=<CopyBackwards>)
tensor(2.8626, grad_fn=<CopyBackwards>)
tensor(1.8967, grad_fn=<CopyBackwards>)
tensor(0.7289, grad_fn=<CopyBackwards>)
tensor(2.4946, grad_fn=<CopyBackwards>)
tensor(2.1008, grad_fn=<CopyBackwards>)
tensor(2.1951, grad_fn=<CopyBackwards>)
tensor(1.8803, grad_fn=<CopyBackwards>)
tensor(2.0309, grad_fn=<CopyBackwards>)
tensor(3.0687, grad_fn=<CopyBackwards>)
tensor(3.6263, grad_fn=<CopyBackwards>)
tensor(1.9784, grad_fn=<CopyBackwards>)
tensor(2.9993, grad_fn=<CopyBackwards>)
tensor(1.8746, grad_fn=<CopyBackwards>)
tensor(2.3491, grad_fn=<CopyBackwards>)
tensor(1.6460, grad_fn=<CopyBackwards>)
tensor(2.1839, grad_fn=<CopyBackwards>)
tensor(1.2095, grad_fn=<CopyBackwards>)
tensor(2.7472, grad_fn=<CopyBackwards>)
tensor(2.5939, grad_fn=<CopyBackwards>)
tensor(1.8056, grad_fn=<CopyBackwards>)
tensor(2.3972, grad_fn=<CopyBackwards>)
tensor(2.7845, grad_fn=<CopyBackwards>)
tensor(3.2050, grad_fn=<CopyBackwards>)
tensor(3.0788, grad_fn=<CopyBackwards>)
tensor(2.6086, grad_fn=<CopyBackwards>)
tensor(1.9698, grad_fn=<CopyBackwards>)
tensor(2.0587, grad_fn=<CopyBackwards>)
tensor(2.4430, grad_fn=<CopyBackwards>)
tensor(3.4331, grad_fn=<CopyBackwards>)
tensor(2.6734, grad_fn=<CopyBackwards>)
tensor(2.7785, grad_fn=<CopyBackwards>)
tensor(2.5918, grad_fn=<CopyBackwards>)
tensor(2.8509, grad_fn=<CopyBackwards>)
tensor(2.5020, grad_fn=<CopyBackwards>)
tensor(3.9407, grad_fn=<CopyBackwards>)
tensor(2.7062, grad_fn=<CopyBackwards>)
tensor(2.6807, grad_fn=<CopyBackwards>)
tensor(3.6345, grad_fn=<CopyBackwards>)
tensor(2.5894, grad_fn=<CopyBackwards>)
tensor(3.0084, grad_fn=<CopyBackwards>)
tensor(1.8069, grad_fn=<CopyBackwards>)
tensor(2.5253, grad_fn=<CopyBackwards>)
tensor(2.3253, grad_fn=<CopyBackwards>)
tensor(2.6218, grad_fn=<CopyBackwards>)
tensor(2.5377, grad_fn=<CopyBackwards>)
tensor(2.0434, grad_fn=<CopyBackwards>)
tensor(2.9221, grad_fn=<CopyBackwards>)
tensor(1.9672, grad_fn=<CopyBackwards>)
tensor(2.2506, grad_fn=<CopyBackwards>)
tensor(2.5157, grad_fn=<CopyBackwards>)
tensor(3.3323, grad_fn=<CopyBackwards>)
tensor(2.5072, grad_fn=<CopyBackwards>)
tensor(3.4408, grad_fn=<CopyBackwards>)
tensor(2.4900, grad_fn=<CopyBackwards>)
tensor(3.1628, grad_fn=<CopyBackwards>)
tensor(2.5293, grad_fn=<CopyBackwards>)
tensor(2.9054, grad_fn=<CopyBackwards>)
tensor(3.0158, grad_fn=<CopyBackwards>)
tensor(2.9784, grad_fn=<CopyBackwards>)
tensor(2.4349, grad_fn=<CopyBackwards>)
tensor(2.3438, grad_fn=<CopyBackwards>)
tensor(3.1950, grad_fn=<CopyBackwards>)
tensor(2.5217, grad_fn=<CopyBackwards>)
tensor(2.2521, grad_fn=<CopyBackwards>)
